 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
161,10_15_21_F_10_DUP,,06/17/2023 04:27:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_10_DUP.810,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6073.819,7368.830,5.649,3.493,13772.809,1723.608,33934.565,0.617,0.101,0.098,7.034,4.971,7.309,0.007,0.161,1.276,1.331,2.624,2.421,2.344,2.648,0.380,0.050,0.059,0.046,0.384,0.041,3.171,3.268,71.4%,54.3%,60.3%,62.5%,54.7%,60.6%,0.009,0.004,0.361,0.369
162,LBLANK,,06/17/2023 04:33:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.811,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.151,0.830,-0.999,-0.912,474.717,66.320,43.257,-0.001,-0.009,-0.001,-0.582,0.000,-0.379,-0.008,0.011,-0.010,-0.007,-0.234,0.009,-0.011,-0.004,-0.080,0.012,0.008,-0.008,0.022,-0.021,-0.006,0.003,73.9%,57.8%,65.1%,66.1%,56.8%,64.5%,0.001,-0.002,-0.010,-0.004
163,LBLANK,,06/17/2023 04:40:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.812,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.168,0.843,-1.017,-0.940,495.866,57.331,39.974,0.000,-0.008,-0.001,-0.582,-0.001,-0.407,-0.008,0.002,-0.010,-0.011,-0.229,0.032,-0.007,-0.002,-0.092,0.006,-0.001,-0.012,-0.011,-0.021,-0.007,0.002,74.1%,57.2%,64.8%,65.5%,56.3%,63.2%,0.001,-0.003,-0.010,-0.004
164,CCV 1ppb TRACE,,06/17/2023 04:46:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.813,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,983.739,1072.192,1.154,0.055,1537.780,1029.886,1079.647,1.046,1.054,1.070,0.897,1.030,0.969,0.978,1.057,1.031,1.046,0.822,0.923,1.000,0.966,1.322,0.921,0.996,0.985,1.063,0.963,0.981,1.005,70.5%,56.9%,64.3%,65.5%,55.4%,62.3%,0.971,0.970,1.171,1.109
165,CCV 1ppb TRACE,,06/17/2023 04:52:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.814,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,984.017,996.029,1.087,0.068,1722.909,1051.247,1043.363,1.033,1.055,1.090,0.967,1.044,1.086,1.027,0.985,1.030,1.066,0.833,0.858,0.891,0.986,1.557,0.946,1.001,0.995,0.871,1.002,0.986,1.026,68.6%,56.8%,64.1%,65.5%,56.0%,62.7%,0.976,0.990,1.219,1.108
166,CCV 10 ppb MAJORS,,06/17/2023 04:58:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.815,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9082.504,9580.775,8.955,9.038,10710.815,9556.843,10161.465,9.899,10.329,10.495,10.213,10.198,8.968,9.708,9.371,9.740,10.039,10.172,9.458,9.752,9.854,10.391,9.875,9.764,9.957,10.276,9.995,9.899,10.261,69.0%,52.1%,59.5%,60.6%,52.5%,59.6%,9.734,9.757,10.553,10.797
167,CCV 10 ppb MAJORS,,06/17/2023 05:04:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.816,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9381.605,9735.788,9.517,8.783,10954.427,9589.686,10173.900,10.059,10.435,10.451,10.124,10.289,9.453,9.970,9.668,9.790,10.004,10.221,9.555,10.101,9.914,10.391,10.362,9.790,9.927,10.044,10.206,9.906,10.220,70.0%,53.0%,60.6%,61.8%,53.5%,59.4%,9.702,9.784,10.449,10.618
168,10_15_21_F_11,,06/17/2023 05:10:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_11.817,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,5592.987,7242.650,5.381,2.896,13472.978,1637.260,32214.535,0.599,0.045,0.052,6.467,4.389,6.612,0.011,0.160,1.317,1.381,3.860,2.981,2.728,3.059,0.490,0.106,0.068,0.076,0.481,0.083,2.703,2.819,67.5%,52.2%,59.7%,61.6%,53.3%,60.3%,0.006,0.004,0.075,0.076
169,10_15_21_F_11,,06/17/2023 05:17:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_11.818,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,5709.253,7276.498,6.049,2.981,14036.416,1622.179,32411.007,0.639,0.048,0.056,6.457,4.360,6.547,0.006,0.166,1.311,1.388,3.906,2.917,2.884,3.031,0.424,0.060,0.094,0.066,0.447,0.045,2.735,2.818,67.1%,51.7%,59.0%,71.4%,52.5%,58.9%,0.008,0.005,0.073,0.060
170,10_15_21_UF_1,,06/17/2023 05:23:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_1.819,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10677.363,6508.607,-0.091,4.423,30497.015,2696.284,43622.016,0.177,0.148,0.137,0.908,18.912,1.874,0.020,0.326,0.520,0.595,1.730,2.502,2.488,2.552,0.667,0.037,0.047,0.044,0.548,0.005,20.213,20.740,67.2%,51.8%,58.5%,60.2%,52.2%,58.4%,0.009,0.006,0.027,0.032
171,10_15_21_UF_1,,06/17/2023 05:29:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_1.820,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10912.878,6553.564,0.037,4.675,31010.581,2777.117,44445.534,0.187,0.158,0.136,0.882,19.215,2.047,0.023,0.369,0.525,0.602,1.715,2.416,2.361,2.573,0.669,0.044,0.051,0.037,0.489,0.031,20.248,20.972,69.2%,52.4%,58.9%,60.5%,53.0%,58.7%,0.009,0.006,0.026,0.031
172,10_15_21_UF_6,,06/17/2023 05:35:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_6.821,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9778.128,6907.121,0.046,2.890,22982.853,2177.213,40607.087,0.508,0.069,0.068,1.751,7.575,2.737,0.015,0.258,1.227,1.319,3.849,2.582,2.414,2.699,0.639,0.097,0.081,0.072,0.445,0.055,10.852,11.257,67.7%,53.3%,59.2%,61.1%,53.6%,59.7%,0.014,0.013,0.045,0.045
173,10_15_21_UF_6,,06/17/2023 05:41:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_6.822,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9509.721,6878.539,0.135,2.813,22388.312,2150.737,39413.066,0.476,0.072,0.065,1.702,7.594,2.571,0.013,0.237,1.264,1.316,3.833,2.636,2.750,2.637,0.629,0.074,0.099,0.072,0.511,0.036,10.718,11.203,66.3%,53.0%,60.0%,60.9%,53.9%,60.1%,0.018,0.013,0.044,0.047
174,10_15_21_UF_8,,06/17/2023 05:47:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8.823,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10167.190,7133.965,1.417,2.673,22209.472,2276.737,40130.250,0.658,0.102,0.080,0.769,7.859,1.843,0.014,0.256,1.154,1.240,3.456,3.272,2.915,3.246,0.594,0.122,0.081,0.067,0.500,0.070,9.996,10.404,66.6%,52.1%,58.8%,60.2%,53.0%,58.6%,0.010,0.007,0.039,0.042
175,10_15_21_UF_8,,06/17/2023 05:54:04,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8.824,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10308.528,7292.615,1.499,2.755,22366.051,2222.184,40438.484,0.696,0.107,0.085,0.748,7.813,1.839,0.015,0.244,1.172,1.232,3.480,3.153,2.984,3.215,0.705,0.091,0.076,0.084,0.356,0.044,10.014,10.356,66.7%,52.1%,58.4%,60.7%,52.5%,57.8%,0.009,0.007,0.041,0.042
176,10_15_21_UF_8_LD,,06/17/2023 06:00:03,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_LD.825,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10279.838,7278.251,3.003,5.163,22462.454,2243.611,40395.259,0.705,0.120,0.097,1.143,7.396,2.245,0.019,0.263,1.207,1.306,7.527,3.139,2.891,3.127,0.619,0.044,0.072,0.061,0.567,0.061,9.950,9.883,67.2%,54.0%,58.4%,60.0%,52.6%,58.0%,0.010,0.008,0.047,0.050
177,10_15_21_UF_8_LD,,06/17/2023 06:06:21,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_LD.826,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10118.774,7023.569,3.102,5.680,21919.336,2272.952,39953.449,0.695,0.109,0.100,1.162,7.762,2.097,0.020,0.269,1.261,1.318,7.600,3.096,2.996,3.270,0.555,0.130,0.101,0.076,0.598,0.071,9.963,10.317,66.7%,52.0%,58.1%,60.0%,52.0%,58.7%,0.010,0.007,0.044,0.049
178,LBLANK,,06/17/2023 06:12:21,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.827,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.696,1.442,-0.997,-0.494,622.950,55.193,41.697,0.000,-0.009,-0.002,-0.581,-0.001,-0.305,-0.008,0.004,-0.009,-0.011,-0.229,0.022,0.006,0.010,-0.063,0.006,0.002,-0.006,0.014,-0.015,-0.007,0.004,74.5%,56.0%,63.7%,64.8%,55.2%,61.9%,0.001,-0.003,-0.011,-0.004
179,LBLANK,,06/17/2023 06:18:40,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.828,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.203,0.836,-0.907,-0.880,515.766,57.364,40.825,0.000,-0.009,-0.001,-0.580,0.000,-0.320,-0.007,-0.001,-0.013,-0.011,-0.229,-0.047,-0.007,0.004,0.129,0.006,0.002,-0.003,-0.012,-0.021,-0.008,0.003,70.7%,55.7%,62.8%,65.0%,54.3%,61.6%,0.001,-0.003,-0.011,-0.004
180,CCV 1ppb TRACE,,06/17/2023 06:24:40,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.829,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,968.085,959.147,1.295,0.059,1514.089,1011.172,996.464,1.054,1.072,1.096,0.951,1.027,0.945,0.982,0.974,0.986,1.063,0.847,0.886,1.003,1.005,1.162,1.120,1.021,0.924,0.908,1.153,1.013,0.995,70.9%,54.8%,61.8%,63.3%,53.7%,61.5%,0.985,0.983,1.153,1.117
181,CCV 1ppb TRACE,,06/17/2023 06:31:00,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.830,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,989.569,1004.862,1.196,0.085,1760.562,1005.719,1055.856,1.035,1.094,1.088,0.924,1.038,1.033,1.005,0.993,1.048,1.058,0.836,0.835,1.050,0.972,1.155,0.870,1.013,0.982,0.975,1.031,0.990,1.045,72.1%,54.3%,61.8%,63.4%,53.6%,61.1%,0.963,0.970,1.122,1.128
182,LFB,,06/17/2023 06:37:00,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.831,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8970.307,9183.333,9.299,11.541,10881.827,9176.043,9770.585,9.677,10.166,10.225,9.854,9.851,8.859,9.536,9.166,9.594,9.923,10.013,9.471,9.834,9.830,9.914,9.769,9.901,9.887,10.129,10.034,9.634,9.982,67.1%,50.1%,57.3%,59.5%,51.0%,56.9%,9.613,9.682,10.148,10.368
183,LFB,,06/17/2023 06:43:18,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.832,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8867.568,9124.608,9.070,11.635,10358.631,9136.001,9792.101,9.651,9.983,9.995,9.532,9.823,8.843,9.559,9.210,9.555,9.656,9.460,9.027,9.728,9.669,9.559,10.129,9.879,10.122,9.828,9.972,9.379,9.762,69.5%,50.9%,59.3%,56.1%,51.0%,57.7%,9.380,9.431,9.853,11.217
184,CCV 10 ppb MAJORS,,06/17/2023 06:49:17,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.833,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9306.831,9713.427,9.139,9.225,10647.956,9569.993,10321.301,10.220,10.412,10.527,10.534,10.287,9.371,9.885,9.457,9.931,10.124,10.316,9.276,9.828,9.932,10.160,9.835,10.208,9.738,10.039,10.333,9.926,10.335,69.2%,51.5%,59.2%,61.5%,52.1%,58.3%,9.756,9.872,10.312,10.574
185,CCV 10 ppb MAJORS,,06/17/2023 06:55:37,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.834,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9321.940,9621.496,9.680,9.055,10832.787,9651.549,10077.765,10.147,10.529,10.572,10.215,10.502,9.583,9.936,9.529,9.875,10.122,10.173,9.549,10.041,9.895,10.107,10.343,10.178,9.927,10.231,10.296,9.997,10.394,69.4%,51.9%,60.3%,61.3%,52.5%,59.7%,9.676,9.772,10.484,10.798
186,10_15_21_UF_8_DUP,,06/17/2023 07:01:37,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_DUP.835,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10384.274,7292.731,0.012,2.634,22873.833,2289.199,41227.562,0.695,0.130,0.101,1.596,7.672,2.785,0.014,0.251,1.246,1.258,2.648,3.138,2.924,3.277,0.616,0.078,0.130,0.089,0.503,0.067,10.070,10.326,65.1%,50.2%,56.9%,58.9%,51.0%,55.4%,0.010,0.007,0.042,0.047
187,10_15_21_UF_8_DUP,,06/17/2023 07:07:56,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_DUP.836,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9850.251,6887.318,-0.049,2.816,22047.339,2217.612,39826.898,0.683,0.119,0.104,1.611,7.663,2.506,0.012,0.243,1.186,1.228,2.648,3.133,2.977,3.171,0.559,0.079,0.080,0.086,0.394,0.068,9.900,10.253,64.8%,49.7%,56.7%,58.3%,50.2%,56.3%,0.013,0.007,0.044,0.046
188,10_15_21_UF_8_DUP_LSP,,06/17/2023 07:13:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_DUP_LSP.837,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,18258.293,15957.025,11.045,15.756,30341.579,11662.155,46464.476,10.760,10.532,10.400,12.085,16.998,11.965,9.796,9.414,10.535,10.681,11.525,12.035,12.732,12.569,10.176,10.189,9.817,9.725,10.365,9.710,18.876,19.558,65.1%,48.7%,55.5%,56.7%,48.9%,54.1%,9.417,9.424,10.238,10.408
189,10_15_21_UF_8_DUP_LSP,,06/17/2023 07:20:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_8_DUP_LSP.838,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,18290.021,15456.035,10.873,15.657,29759.822,11437.443,46012.465,10.768,10.355,10.497,11.971,16.975,11.755,9.742,9.366,10.200,10.663,11.527,12.353,12.181,12.470,10.564,10.120,9.740,10.004,10.722,9.955,18.982,19.537,64.8%,49.6%,56.3%,57.2%,50.5%,56.2%,9.489,9.525,10.361,10.446
190,10_15_21_UF_9,,06/17/2023 07:26:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_9.839,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8681.232,6514.307,12.799,6.792,17805.547,1935.394,35857.393,0.553,0.114,0.112,0.520,4.369,1.483,0.010,0.191,1.015,1.085,2.838,2.544,2.442,2.596,0.695,0.070,0.081,0.062,0.430,0.100,7.035,7.249,65.6%,50.6%,57.3%,58.8%,51.2%,57.4%,0.011,0.009,0.028,0.029
191,10_15_21_UF_9,,06/17/2023 07:32:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_9.840,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8598.212,6573.289,12.382,6.099,18024.436,1882.250,35627.249,0.533,0.119,0.109,0.484,4.402,1.409,0.009,0.175,0.992,1.086,2.871,2.453,2.375,2.632,0.507,0.046,0.082,0.051,0.362,0.075,7.041,7.275,65.4%,49.9%,56.6%,58.4%,50.2%,56.6%,0.010,0.008,0.027,0.031
192,10_15_21_UF_10,,06/17/2023 07:38:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_10.841,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6908.178,7277.051,-0.047,4.319,14283.683,1647.047,33688.907,0.616,0.103,0.086,0.287,4.577,1.290,0.007,0.176,0.804,0.860,2.119,2.780,2.852,2.863,0.546,0.142,0.076,0.071,0.366,0.094,3.111,3.192,65.2%,50.2%,56.8%,60.8%,50.6%,55.9%,0.008,0.003,0.029,0.033
193,10_15_21_UF_10,,06/17/2023 07:44:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_10.842,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6816.092,7000.387,-0.188,4.085,14019.084,1695.791,33118.622,0.598,0.099,0.088,0.269,4.592,1.149,0.007,0.138,0.796,0.857,2.155,2.730,2.796,2.886,0.618,0.071,0.098,0.060,0.400,0.027,3.099,3.206,65.4%,49.5%,56.5%,65.5%,49.7%,56.4%,0.008,0.003,0.030,0.028
194,10_15_21_UF_11,,06/17/2023 07:50:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_11.843,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6563.655,7219.826,-0.041,3.334,13955.435,1598.312,32909.783,0.586,0.073,0.056,1.442,4.003,2.164,0.007,0.121,0.784,0.850,3.059,2.909,2.762,2.989,0.342,0.046,0.072,0.053,0.389,0.095,2.635,2.767,64.3%,49.7%,56.7%,60.8%,50.1%,56.3%,0.005,0.005,0.032,0.033
195,10_15_21_UF_11,,06/17/2023 07:57:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_UF_11.844,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6694.783,7168.185,0.095,3.500,14096.455,1566.598,32446.258,0.585,0.078,0.063,1.457,4.065,2.156,0.008,0.164,0.809,0.869,3.091,2.809,2.783,3.034,0.529,0.072,0.100,0.067,0.388,0.070,2.629,2.760,64.6%,48.6%,56.0%,57.1%,48.8%,55.4%,0.007,0.004,0.033,0.036
196,LBLANK,,06/17/2023 08:03:10,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.845,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.035,0.877,-1.013,-0.877,568.711,58.997,39.104,0.000,-0.006,-0.002,-0.577,0.000,-0.314,-0.008,0.001,-0.009,-0.011,-0.231,0.015,-0.007,0.009,0.023,0.006,0.012,-0.007,-0.009,-0.008,-0.007,0.003,70.1%,52.5%,61.1%,61.8%,51.4%,58.0%,0.001,-0.002,-0.011,-0.004
197,LBLANK,,06/17/2023 08:09:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.846,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,53.943,0.236,-0.994,-0.943,454.915,62.629,42.736,0.000,-0.008,-0.002,-0.581,0.000,-0.373,-0.007,0.008,-0.012,-0.011,-0.233,-0.067,-0.002,0.009,0.236,0.013,0.007,-0.006,-0.019,-0.015,-0.008,0.003,63.1%,52.2%,61.4%,61.3%,50.8%,59.0%,0.001,-0.002,-0.010,-0.004
198,CCV 1ppb TRACE,,06/17/2023 08:15:29,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.847,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1002.338,996.721,1.311,0.063,1835.271,1027.157,1055.087,1.073,1.088,1.069,0.955,1.015,1.053,1.041,1.005,1.041,1.057,0.811,0.851,1.077,0.991,1.287,0.908,0.963,0.981,0.931,1.033,0.992,1.019,66.4%,51.5%,58.8%,60.6%,50.5%,57.1%,1.010,0.991,1.202,1.151
199,CCV 1ppb TRACE,,06/17/2023 08:21:48,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.848,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,997.093,995.085,1.409,0.052,1719.710,1061.102,978.583,1.057,1.081,1.077,0.934,1.039,1.060,1.010,0.947,1.018,1.065,0.817,0.900,0.925,0.981,1.269,1.067,1.013,1.030,0.954,0.971,0.991,1.026,65.3%,50.6%,58.3%,59.7%,50.5%,57.7%,0.999,0.991,1.195,1.146
