 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
159,7_20_21_UF_11,R,5/16/2023 6:57,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1.156,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.291,61.378,-0.115,-0.605,-1475.312,119.762,154.312,0.081,-0.006,0.005,-0.118,0.006,-0.662,0.002,-0.002,-0.104,-0.105,-0.204,0.572,0.01,0.342,0.018,-1.056,-0.018,-0.002,-0.006,-0.194,-0.001,,,-0.001,0.012,82.80%,82.70%,95.20%,88.00%,85.50%,84.00%,90.20%,0,0,,0,-0.001
160,7_20_21_F_1,R,5/16/2023 7:02,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP.157,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6726.701,6731.228,3.436,7.961,19051.125,1621.144,35010.666,0.516,0.387,0.361,6.603,12.205,7.506,0.036,0.344,1.271,1.179,0.787,5.062,5.168,4.817,5.058,0.236,0.005,0.043,0.052,0.241,0.054,,,9.317,9.045,89.50%,80.30%,88.90%,81.70%,78.70%,80.20%,84.60%,0.008,0.011,,0.039,0.047
161,7_20_21_F_1,R,5/16/2023 7:09,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP.158,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7023.234,6975.043,3.365,8.146,20157.029,1686.884,36287.499,0.479,0.393,0.343,6.538,12.09,8.113,0.038,0.345,1.302,1.189,0.776,5.06,5.126,4.73,4.985,0.353,0.029,0.051,0.038,0.308,0.045,,,9.221,9.071,89.10%,79.50%,85.00%,81.80%,76.30%,79.10%,84.10%,0.007,0.009,,0.04,0.046
162,7_20_21_F_1 DUP,R,5/16/2023 7:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6.159,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6208.339,6117.61,3.412,8.589,18363.054,1542.606,32742.63,0.475,0.119,0.118,5.812,12.436,6.037,0.031,0.28,1.077,1.096,0.869,5.441,4.739,5.056,5.502,0.248,0.038,0.046,0.053,0.163,0.033,,,9.174,9.128,87.10%,75.50%,90.50%,79.00%,80.90%,77.00%,82.00%,0.006,0.01,,0.046,0.048
163,7_20_21_F_6,R,5/16/2023 7:20,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP.160,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9480.276,6697.305,2.595,2.612,12586.721,1920.478,33002.375,0.94,0.055,0.055,6.223,19.418,6.563,0.027,0.234,3.563,3.577,3.147,6.506,5.458,5.53,6.321,0.377,0.093,0.093,0.096,0.442,0.136,,,4.379,4.238,87.70%,79.60%,93.60%,79.60%,80.20%,78.70%,90.30%,0.014,0.016,,0.086,0.091
164,7_20_21_F_6 DUP,R,5/16/2023 7:26,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP LD.161,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8771.465,6161.571,2.868,2.819,11273.889,1769.55,30281.672,0.917,0.047,0.058,6.179,19.316,5.764,0.026,0.194,3.111,3.557,2.505,6.118,5.087,5.687,6.079,0.407,0.062,0.112,0.089,0.487,0.066,,,4.372,4.172,90.80%,81.50%,105.00%,81.90%,84.00%,77.70%,86.40%,0.015,0.014,,0.096,0.102
165,7_20_21_F_6 DUP,R,5/16/2023 7:32,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP LD.162,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10156.112,7228.952,3.316,2.607,13991.189,2135.105,33711.167,1.044,0.062,0.059,6.013,19.05,6.794,0.027,0.207,3.624,3.509,2.511,6.048,5.784,5.475,5.905,0.306,0.095,0.086,0.104,0.368,0.092,,,4.244,4.135,91.80%,82.00%,89.10%,82.70%,84.20%,79.40%,87.90%,0.016,0.017,,0.097,0.101
166,7_20_21_F_6 DUP LD,R,5/16/2023 7:38,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP LSP.163,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9777.931,6756.784,4.47,3.631,13018.448,2007.276,33724.273,1.073,0.071,0.07,6.346,18.813,6.992,0.033,0.216,3.69,3.482,2.483,6.403,5.609,5.523,5.927,0.466,0.075,0.097,0.1,0.352,0.107,,,4.28,4.143,86.90%,81.00%,89.70%,81.80%,82.10%,74.50%,86.30%,0.013,0.015,,0.101,0.101
167,7_20_21_F_6 DUP LD,R,5/16/2023 7:44,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6 DUP LSP.164,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10391.44,7492.426,3.317,3.491,14616.359,2045.498,35206.279,1.056,0.082,0.067,6.343,19.679,7.407,0.027,0.254,3.881,3.532,2.572,6.167,6.371,5.772,6.124,0.303,0.142,0.109,0.114,0.461,0.124,,,4.282,4.18,91.20%,78.90%,85.90%,80.80%,81.10%,78.00%,82.90%,0.012,0.014,,0.094,0.102
168,7_20_21_F_6 DUP LSP,R,5/16/2023 7:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F8.165,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,13005.997,9663.664,7.354,7.247,16414.441,4428.448,37171.916,3.904,2.946,2.831,9.338,22.072,9.737,2.858,3.149,6.415,6.257,5.041,8.618,8.393,7.91,8.634,2.603,2.686,2.537,2.7,3.086,2.443,,,7.104,6.795,87.90%,76.80%,88.20%,79.40%,79.80%,77.80%,81.70%,2.626,2.617,,2.267,2.454
169,LBLANK,R,5/16/2023 7:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.166,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,128.645,59.216,-0.021,-0.121,1029.266,133.347,154.714,0.081,-0.003,0.004,-0.091,-0.001,0.039,0.001,0.02,-0.101,-0.103,-0.191,-0.057,0.018,0.33,0.003,0.107,-0.012,-0.005,-0.004,-0.013,-0.005,,,0,0.006,90.10%,81.50%,92.60%,83.30%,85.10%,75.30%,86.60%,0,0.001,,0,0
170,CCV 1ppb,R,5/16/2023 8:01,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.167,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1193.119,1073.525,0.981,0.656,1789.241,1068.76,1145.059,1.102,1.061,1.066,0.992,1.043,0.878,1.067,1.091,0.934,0.999,0.789,0.961,1.017,1.199,0.989,0.999,1.039,0.935,0.953,1.079,0.922,,,1.016,1.009,95.20%,84.50%,100.70%,86.60%,87.70%,81.70%,89.40%,0.998,0.995,,0.897,0.95
171,CCV 1ppb,R,5/16/2023 8:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.168,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1183.114,1041.144,1.243,0.607,1853.821,1083.571,1153.36,1.173,1.098,1.08,0.964,1.079,0.969,1.077,1.085,0.956,1.022,0.828,0.953,0.98,1.202,1.004,1.011,1.014,1.033,0.939,1.027,0.948,,,1.04,1.022,92.80%,80.80%,102.60%,84.00%,86.30%,82.50%,86.70%,1.013,1.015,,0.903,0.946
172,CCV 10 ppb,R,5/16/2023 8:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.169,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10955.627,10156.946,9.924,10.608,10872.244,9592.668,10151.279,10.731,10.656,10.697,10.246,10.683,9.686,10.407,10.614,10.407,10.716,9.658,10.486,10.412,9.336,10.328,9.536,10.322,10.351,10.339,11.124,9.958,,,10.576,10.423,85.70%,75.80%,95.40%,79.50%,80.00%,75.00%,81.10%,10.165,10.091,,9.036,9.119
173,CCV 10 ppb,R,5/16/2023 8:19,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.170,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10242.511,10024.649,9.625,10.694,10189.952,9123.708,10148.95,10.433,10.059,10.529,10.329,10.587,9.203,10.065,10.555,10.083,10.639,9.673,10.155,9.589,9.027,10.077,9.462,10.372,9.962,10.356,10.22,9.488,,,10.362,10.389,87.70%,79.50%,100.10%,82.50%,68.60%,78.30%,86.00%,10.06,9.954,,8.839,10.953
174,7_20_21_F_8,R,5/16/2023 8:25,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F9.171,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11291.701,7253.397,3.605,8.216,12500.946,2171.389,34607.175,1.226,0.113,0.116,8.161,20.867,8.532,0.027,0.248,3.915,3.86,1.92,6.431,6.376,5.583,6.243,0.34,0.118,0.087,0.08,0.418,0.082,,,4.349,4.196,89.20%,78.90%,93.50%,79.40%,82.70%,76.90%,87.60%,0.02,0.018,,0.117,0.124
175,7_20_21_F9,R,5/16/2023 8:31,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F10.172,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7535.459,6218.725,4.078,8.614,9744.793,1669.261,28159.016,0.968,0.053,0.057,5.538,8.519,6.196,0.021,0.178,2.837,2.785,2.295,4.919,4.176,4.425,4.613,0.397,0.056,0.071,0.086,0.353,0.084,,,2.635,2.591,83.10%,77.10%,90.90%,80.40%,81.40%,77.90%,80.90%,0.011,0.013,,0.078,0.076
176,7_20_21_F_10,R,5/16/2023 8:37,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11.173,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7313.216,8398.315,3.851,6.255,14865.206,2029.641,34259.856,0.911,0.072,0.071,4.079,9.311,4.345,0.023,0.199,2.782,2.85,1.888,5.211,4.814,4.631,5.116,0.366,0.071,0.111,0.09,0.361,0.147,,,2.345,2.243,87.90%,78.40%,93.30%,78.90%,80.60%,63.60%,86.90%,0.011,0.011,,0.14,0.148
177,7_20_21_F_11,R,5/16/2023 8:42,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.174,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7198.497,8758.033,2.984,2.593,14924.235,1946.631,34751.877,0.794,0.076,0.081,2.865,2.656,3.213,0.019,0.167,2.779,2.825,1.47,4.967,4.588,4.382,5.015,0.288,0.059,0.11,0.083,0.311,0.073,,,2.132,2.185,91.80%,78.60%,95.10%,82.80%,82.40%,78.60%,90.70%,0.006,0.009,,0.086,0.094
178,DBLANK,R,5/16/2023 8:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.175,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.396,58.09,1.67,2.88,1040.98,133.523,165.129,0.083,0,0.007,-0.04,0,0.078,0.001,0.027,-0.029,-0.04,-0.193,-0.026,0.017,0.329,0.002,0.023,-0.018,-0.009,-0.002,-0.057,-0.001,,,-0.001,0.004,96.40%,81.80%,91.10%,83.50%,87.00%,81.20%,88.30%,0,0,,0.004,0.004
179,DBLANK,R,5/16/2023 8:54,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\MFB.176,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,125.521,58.09,0.341,3.897,799.239,128.984,144.147,0.081,0,0.005,-0.076,0,-0.002,0.001,0.015,-0.047,-0.041,-0.191,-0.044,0.01,0.329,0.003,0.102,-0.024,-0.005,-0.004,-0.03,-0.005,,,-0.001,0.004,93.60%,75.10%,106.60%,85.90%,88.40%,82.70%,81.00%,0,0,,0.004,0.004
180,MFB,R,5/16/2023 9:00,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\MFB.177,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5636.843,5557.851,6.328,10.772,5921.023,4816.357,5022.164,5.476,5.445,5.332,5.232,5.2,5.341,5.534,5.552,5.452,5.325,4.637,4.929,5.103,4.478,4.91,4.841,4.799,4.816,4.838,5.133,4.641,,,5.124,5.011,87.90%,79.20%,94.90%,82.30%,75.80%,79.60%,87.60%,4.912,4.961,,4.464,5.08
181,MFB,R,5/16/2023 9:05,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\T-239.178,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5521.805,5224.396,5.464,9.949,5780.237,4883.974,5512.296,5.501,5.318,5.759,5.685,5.21,5.178,5.385,5.61,5.366,5.762,5.158,4.844,5.108,4.413,4.907,4.629,5.062,4.793,4.919,4.87,4.635,,,5.581,5.061,91.40%,79.50%,95.00%,77.20%,81.60%,79.60%,89.20%,5.417,5.385,,4.372,4.567
182,T-239,R,5/16/2023 9:11,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\T-239.179,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,57714.421,14285.506,122.54,13.563,1799.964,4092.142,56134.98,2.31,1.512,1.519,44.08,3.898,45.995,1.654,2.066,0.767,0.796,5.865,2.414,2.575,2.376,2.404,4.973,1.979,1.87,1.916,2.265,1.988,,,1.118,1.082,83.00%,72.30%,85.50%,74.60%,77.10%,71.00%,79.20%,3.328,3.244,,1.024,1.074
183,LFB,R,5/16/2023 9:17,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.180,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2725.432,2498.405,6.889,3.439,2926.18,2242.543,2628.774,2.592,2.59,2.684,2.494,2.609,2.356,2.636,2.775,2.559,2.671,2.294,2.561,2.716,2.459,2.537,2.595,2.67,2.499,2.6,2.739,2.434,,,2.575,2.586,93.20%,81.90%,104.50%,85.90%,87.20%,81.80%,90.90%,2.499,2.526,,2.182,2.261
184,T-239,R,5/16/2023 9:23,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W1.181,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,53015.469,12968.443,116.163,12.421,1489.482,3724.41,55165.206,2.166,1.533,1.57,45.014,4.296,43.12,1.516,1.935,0.805,0.861,6.181,2.454,2.48,2.561,2.602,5.242,2.106,2.056,2.086,2.299,2.058,,,1.154,1.213,83.90%,68.70%,94.20%,74.20%,78.00%,72.80%,74.50%,3.442,3.383,,1.024,1.102
185,LBLANK,R,5/16/2023 9:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.182,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,129.115,60.051,0.02,0.409,920.032,131.653,146.453,0.088,-0.003,0.004,-0.09,0,0.033,0.002,0.003,-0.101,-0.104,-0.19,-0.058,0.01,0.327,0,0.129,-0.018,-0.007,-0.005,-0.008,-0.005,,,-0.001,0.004,93.20%,83.80%,101.50%,88.30%,86.70%,81.70%,90.70%,0,0.001,,0,0
186,CCV 1ppb,R,5/16/2023 9:34,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.183,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1195.717,1110.272,0.929,0.839,1686.457,1056.568,1138.484,1.129,1.106,1.094,0.992,1.059,1.016,1.137,1.175,1.037,1.057,0.838,0.922,1.114,1.156,1.021,1.13,1.068,0.954,0.998,0.903,0.91,,,1.039,1.023,93.60%,81.40%,103.40%,85.80%,94.00%,81.00%,93.70%,1.002,1.024,,0.867,0.902
187,CCV 1ppb,R,5/16/2023 9:40,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.184,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1183.841,1097.07,0.811,0.705,1909.259,1064.118,1164.206,1.124,1.04,1.148,1.014,1.15,1.129,1.117,1.16,1.019,1.031,0.846,0.982,1.141,1.238,1.077,0.939,1.074,1.126,0.994,0.951,1.045,,,1.056,1.106,96.20%,76.60%,101.90%,85.20%,88.20%,80.00%,84.70%,1.032,1.031,,0.87,0.925
188,CCV 10 ppb,R,5/16/2023 9:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.185,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11341.227,10229.565,9.984,10.487,11372.196,9748.653,10824.039,11.033,11.155,10.668,10.029,10.819,10.453,11.114,11.685,11.196,10.718,9.54,10.345,10.852,9.221,10.507,9.812,10.757,10.141,10.085,10.445,9.382,,,10.408,10.582,86.80%,75.70%,92.10%,80.10%,81.30%,75.40%,83.60%,9.849,9.983,,8.635,8.661
189,CCV 10 ppb,R,5/16/2023 9:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.186,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11068.806,10198.231,10.627,10.333,10606.407,9399.783,10379.963,11.113,11.004,10.675,10.375,10.413,10.063,10.916,11.412,11.131,10.841,9.703,10.305,11.324,9.047,10.116,9.543,10.468,9.728,10.06,10.597,10.051,,,10.514,10.123,86.90%,78.50%,94.70%,79.60%,75.30%,76.20%,85.00%,9.915,10.047,,8.681,9.584
190,7_06_21_W_1,R,5/16/2023 9:58,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W6.187,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1391.672,1335.208,5.665,2.367,4248.002,386.621,6913.105,0.147,0.027,0.024,4.872,3.638,5.17,0.008,0.084,0.254,0.25,0.168,1.153,1.065,1.221,1.075,0.377,-0.006,0.007,0.005,0.025,0.004,,,1.835,1.778,85.10%,80.00%,97.60%,83.20%,86.90%,77.30%,89.70%,0.002,0.002,,0.032,0.03
191,7_06_21_W_6,R,5/16/2023 10:04,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8.188,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2017.208,1418.946,13.16,2.355,3342.943,473.737,7166.116,0.281,0.038,0.041,13.062,6.138,12.909,0.009,0.039,1.42,1.451,0.592,1.34,1.242,1.412,1.319,0.067,-0.001,0.014,0.025,0.065,0.036,,,0.882,0.823,88.90%,80.60%,96.50%,82.10%,83.70%,69.80%,91.80%,0.004,0.007,,0.099,0.102
192,7_06_21_W_8,R,5/16/2023 10:10,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9.189,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2351.168,1446.535,8.008,3.434,3376.635,513.93,7030.886,0.284,0.037,0.048,8.747,6.191,9.153,0.011,0.049,1.053,1.027,0.395,1.437,1.175,1.461,1.334,0.227,0.013,0.028,0.016,0.118,0.017,,,0.837,0.839,82.30%,80.80%,94.60%,82.80%,83.20%,79.90%,89.10%,0.003,0.005,,0.053,0.05
193,7_06_21_W_9,R,5/16/2023 10:15,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9 DUP.190,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1502.385,1261.204,10.511,3.16,2469.01,387.826,5487.086,0.246,0.03,0.046,9.748,4.179,9.523,0.007,0.049,0.761,0.816,0.384,0.976,0.91,1.155,0.963,0.217,0.012,0.009,0.005,-0.022,0.008,,,0.527,0.526,90.10%,79.50%,100.80%,81.80%,84.30%,79.00%,86.40%,0.005,0.005,,0.047,0.05
194,7_06_21_W_9,R,5/16/2023 10:22,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9 DUP.191,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1544.779,1268.338,11.084,2.954,2610.72,415.171,5569.646,0.275,0.032,0.042,9.673,4.141,9.729,0.007,0.032,0.786,0.824,0.39,0.988,0.994,1.128,0.945,0.066,0,0.009,0.01,0.053,0.008,,,0.526,0.52,88.20%,80.30%,97.20%,82.40%,82.60%,79.70%,88.50%,0.005,0.004,,0.052,0.052
195,7_06_21_W_9 DUP,R,5/16/2023 10:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W10.192,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1377.56,1171.217,10.75,3.036,2320.659,382.424,5240.316,0.28,0.027,0.04,10.904,4.27,10.082,0.007,0.034,0.778,0.835,0.361,0.944,0.699,1.09,0.9,0.126,-0.012,0.016,0.007,0.031,0.008,,,0.504,0.492,92.10%,82.10%,103.60%,81.90%,81.70%,78.50%,90.30%,0.003,0.005,,0.055,0.064
196,7_06_21_W_10,R,5/16/2023 10:33,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11.193,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1530.554,1704.3,12.903,2.71,3445.736,474.599,6950.527,0.266,0.115,0.121,10.987,5.149,10.349,0.011,0.053,0.854,0.879,0.479,1.082,0.832,1.203,1.022,0.144,-0.018,0.019,0.014,0.121,0.013,,,0.448,0.425,88.30%,81.60%,98.80%,81.90%,82.30%,77.00%,88.80%,0.003,0.005,,0.057,0.06
197,7_06_21_W_11,R,5/16/2023 10:39,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP.194,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1506.683,1830.402,3.895,1.504,3737.607,483.316,7089.363,0.226,0.039,0.039,2.87,1.61,2.841,0.007,0.055,0.633,0.634,0.113,1.02,0.872,1.203,1.035,0.198,0.006,0.03,0.014,-0.005,0.018,,,0.42,0.424,87.50%,78.20%,98.90%,83.20%,82.70%,77.60%,86.30%,0.002,0.002,,0.039,0.04
